Filename,Frame,Time (mins),Image row,Image col,Date,Location,Site #,Transect #,Latitude,Longitude,Rugosity,Depth,Collector,Fishing status,Spare,Spare,FOV,Relief,,Radius %
Z_10.jpg,Z_10,,677,580,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,71.3
Z_10.jpg,Z_10,,946,580,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,68.6
Z_10.jpg,Z_10,,1214,580,,,Z_10,Z_10,,,,,,,,,Open,,,68.6
Z_10.jpg,Z_10,,1483,580,,,Z_10,Z_10,,,,,,,,,Open,,,71.3
Z_10.jpg,Z_10,,1752,580,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,76.4
Z_10.jpg,Z_10,,2021,580,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,83.4
Z_10.jpg,Z_10,,139,963,,,Z_10,Z_10,,,,,,,,,Open,,,68.4
Z_10.jpg,Z_10,,408,963,,,Z_10,Z_10,,,,,,,,,Open,,,59.6
Z_10.jpg,Z_10,,677,963,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,52.9
Z_10.jpg,Z_10,,946,963,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,49.2
Z_10.jpg,Z_10,,1214,963,,,Z_10,Z_10,,,,,,,,,Open,,,49.2
Z_10.jpg,Z_10,,1483,963,,,Z_10,Z_10,,,,,,,,,Open,,,52.9
Z_10.jpg,Z_10,,1752,963,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,59.6
Z_10.jpg,Z_10,,2021,963,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,68.4
Z_10.jpg,Z_10,,139,1346,,,Z_10,Z_10,,,,,,,,,Open,,,56.1
Z_10.jpg,Z_10,,408,1346,,,Z_10,Z_10,,,,,,,,,Open,,,45
Z_10.jpg,Z_10,,677,1346,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,35.7
Z_10.jpg,Z_10,,946,1346,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,30
Z_10.jpg,Z_10,,1214,1346,,,Z_10,Z_10,,,,,,,,,Open,,,30
Z_10.jpg,Z_10,,1483,1346,,,Z_10,Z_10,,,,,,,,,Open,,,35.7
Z_10.jpg,Z_10,,1752,1346,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,45
Z_10.jpg,Z_10,,2021,1346,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,56.1
Z_10.jpg,Z_10,,139,1729,,,Z_10,Z_10,,,,,,,,,Open,,,48.9
Z_10.jpg,Z_10,,408,1729,,,Z_10,Z_10,,,,,,,,,Open,,,35.6
Z_10.jpg,Z_10,,677,1729,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,22.7
Z_10.jpg,Z_10,,946,1729,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,11.9
Z_10.jpg,Z_10,,1214,1729,,,Z_10,Z_10,,,,,,,,,Open,,,11.9
Z_10.jpg,Z_10,,1483,1729,,,Z_10,Z_10,,,,,,,,,Open,,,22.7
Z_10.jpg,Z_10,,1752,1729,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,35.6
Z_10.jpg,Z_10,,2021,1729,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,48.9
Z_10.jpg,Z_10,,139,2112,,,Z_10,Z_10,,,,,,,,,Open,,,48.9
Z_10.jpg,Z_10,,408,2112,,,Z_10,Z_10,,,,,,,,,Open,,,35.6
Z_10.jpg,Z_10,,677,2112,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,22.7
Z_10.jpg,Z_10,,946,2112,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,11.9
Z_10.jpg,Z_10,,1214,2112,,,Z_10,Z_10,,,,,,,,,Open,,,11.9
Z_10.jpg,Z_10,,1483,2112,,,Z_10,Z_10,,,,,,,,,Open,,,22.7
Z_10.jpg,Z_10,,1752,2112,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,35.6
Z_10.jpg,Z_10,,2021,2112,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,48.9
Z_10.jpg,Z_10,,139,2495,,,Z_10,Z_10,,,,,,,,,Open,,,56.1
Z_10.jpg,Z_10,,408,2495,,,Z_10,Z_10,,,,,,,,,Open,,,45
Z_10.jpg,Z_10,,677,2495,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,35.7
Z_10.jpg,Z_10,,946,2495,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,30
Z_10.jpg,Z_10,,1214,2495,,,Z_10,Z_10,,,,,,,,,Open,,,30
Z_10.jpg,Z_10,,1483,2495,,,Z_10,Z_10,,,,,,,,,Open,,,35.7
Z_10.jpg,Z_10,,1752,2495,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,45
Z_10.jpg,Z_10,,2021,2495,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,56.1
Z_10.jpg,Z_10,,139,2878,,,Z_10,Z_10,,,,,,,,,Open,,,68.4
Z_10.jpg,Z_10,,408,2878,,,Z_10,Z_10,,,,,,,,,Open,,,59.6
Z_10.jpg,Z_10,,677,2878,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,52.9
Z_10.jpg,Z_10,,946,2878,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,49.2
Z_10.jpg,Z_10,,1214,2878,,,Z_10,Z_10,,,,,,,,,Open,,,49.2
Z_10.jpg,Z_10,,1483,2878,,,Z_10,Z_10,,,,,,,,,Open,,,52.9
Z_10.jpg,Z_10,,1752,2878,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,59.6
